"","actbillscc1","actbillscc10","actbillscc11","actbillscc2","actbillscc3","actbillscc4","actbillscc5","actbillscc6","actbillscc7","actbillscc8","actbillscc9","age","age_grp","billscc","brrise","desavebcs1","desavebcs2","desavebcs3","desavebcs4","desavebcs5","desavebcs6","dfihhyr","dfihhyrchg","fihhyr2","fisc_impact1","fisc_impact2","fisc_impact3","fisc_impact4","fisc_impact5","fisc_impact6","fisc_impact7","fisc_impact8","fisc_likact1","fisc_likact2","fisc_likact3","fisc_likact4","fisc_likact5","fisc_likact6","fisc11_act1","fisc11_act2","fisc11_act3","fisc11_act4","fisc11_act5","fisc11_act6","fisc11_conc1","fisc11_conc2","fisc11_conc3","fisc11_conc4","fisc11_conc5","fisc11_conc6","fisc11_conc7","fisc11_conc8","forebeareffsec","forebeareffunsec","forebearsec1","forebearsec2","forebearsec3","forebearsec4","forebearsec5","forebearsec6","forebearsec7","forebearsec8","forebearunsec1","forebearunsec2","forebearunsec3","forebearunsec4","forebearunsec5","hscntcr1","hscntcr2","hscrchg","hsval","huresp","intmg","jbstat","mastat","mg1tot","nvesttot","pubsecty","region","saveamount","savebcs1","savebcs10","savebcs11","savebcs12","savebcs13","savebcs2","savebcs3","savebcs4","savebcs5","savebcs6","savebcs7","savebcs8","savebcs9","savingch","sex","soc","subsid","tenure","uncert","uncertch","us","usa","usb","usc","usd","use","usg","ush","usi","usj","ustot","weight","xphpdf","xphsdf","xpmg","xpus"
"1","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",68,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£400-£499","down <£50","£13,500-£15,499","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","yes","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","harder",NA,"yes","not applicable","retired","widowed/divorced/separated","not applicable","£75,000 - £99,999","no","North","£25-£49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",20002037,"Owned outright","vague idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",0.971003351,"not applicable","no","not applicable","not applicable"
"2","no","yes","no","no","no","no","no","yes","no","no","no",38,"35 - 44","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","up <£50","£17,500-£24,999","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","no",NA,NA,NA,NA,NA,NA,"no","no","yes","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","easier","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","None","no","South West","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C1",20002404,"Private rented","no idea","less certain","yes","no","yes","yes","no","no","no","yes","no","no","£4,500-£4,999",0.99232036,"heavy","no","not applicable","£200-£219"
"3","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",65,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£900-£999","down <£50","£40,000-£49,999","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","in paid employ","marrried or couple","not applicable","£25,000 - £29,999","no","South West","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",20003928,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.01184607,"not applicable","no","not applicable","not applicable"
"4","no","no","no","no","no","no","no","yes","yes","no","no",50,"45 - 54","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"don't know","no change","£50,000-£74,999","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","don't know","no","South East","£50-£99","no","no","no","no","no","yes","no","no","no","no","no","no","yes","Increase by £100-£149 a month","Female","B",20004472,"Local authority rented","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.21968114,"not applicable","no","not applicable","not applicable"
"5","no","no","no","no","no","no","no","yes","yes","no","no",56,"55 - 64","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down <£50","£9,500-£11,499","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable",NA,"yes","not applicable","in paid employ","widowed/divorced/separated","not applicable","£10,000 - £12,499","don't know","East Anglia","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C1",20004722,"Owned outright","no idea","less certain","yes","no","no","yes","no","no","no","no","no","yes","<£200",0.750395963,"somewhat","no","not applicable","don't know"
"6","no","no","no","no","no","no","no","no","no","no","yes",39,"35 - 44","keeping up, struggle from time to time","£50-99",NA,NA,NA,NA,NA,NA,"£3,000-£3,999","down £50-£100","£75,000-£99,999","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no",NA,"I would be up to date with my loan payments, but it would be a struggle","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","no","no","no","yes","no","no","yes","harder","£350,000-£399,999","yes","standard variable rate (SVR)","in paid employ","never married","£110,000-£129,999","None","no","Greater London","none","yes","no","no","no","no","yes","no","no","no","no","no","no","no","Increase by £300 or more a month","Female","C1",20005219,"Owned mortgage","vague idea","don't know","yes","yes","yes","yes","no","no","no","yes","no","yes","£20,000-£24,999",0.977292495,"somewhat","yes","£400-£449",">=£500"
"7","no","no","no","no","no","no","no","no","yes","no","no",50,"45 - 54","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","no change","£7,500-£9,499","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no",NA,"I would be behind on my loan payments",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","no","yes","no","don't know","not applicable","not applicable","not applicable","unemployed","widowed/divorced/separated","not applicable","None","no","East Midlands","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","E",20006939,"Private rented","no idea","no change","yes","yes","yes","yes","yes","no","no","yes","no","no",">=£30,000",1.04884387,"somewhat","yes","not applicable","£10-£19"
"8","no","no","yes","no","no","no","no","yes","yes","no","no",56,"55 - 64","falling behind on some","£0-49",NA,NA,NA,NA,NA,NA,"<=199","down £50-£100","£25,000-£29,999","no","no","no","yes","no","no","no","no","don't know","don't know","don't know","don't know","don't know","don't know","don't know","don't know","don't know","don't know","don't know","don't know","no","no","no","yes","yes","no","no","no",NA,NA,"Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","Dont know","no","no","no","no","yes","yes","don't know","don't know","£900,000-£999,999","yes","standard variable rate (SVR)","self employed","marrried or couple","£250,000-£274,999","£1,000 - £1,999","no","South West","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","C2",20007874,"Owned mortgage","vague idea","less certain","yes","no","yes","no","no","no","no","yes","no","no","<£200",0.962659165,"no","yes","£600-£649","<£10"
"9","no","no","no","no","no","no","no","no","yes","no","no",54,"45 - 54","keeping up, constant struggle",NA,"no","yes","no","no","yes","no","<=199","down >£100","£4,500-£6,499","no","no","yes","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","the same","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","<£500","yes","East Midlands","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decrease by £50-£99 a month","Female","C1",20009061,"Local authority rented","vague idea","less certain","refused","refused","refused","refused","refused","refused","refused","refused","refused","refused","not applicable",1.05510607,"not applicable","yes","not applicable","not applicable"
"10","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",70,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"don't know","down <£50","don't know","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","refused","no","South East","£25-£49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","A",20009133,"Owned outright","vague idea","less certain","no","no","no","no","no","no","no","no","no","no","not applicable",1.09008642,"not applicable","no","not applicable","not applicable"
