"","Variable Name","Description","X__1","Values","Notes"
"1",NA,NA,NA,NA,NA
"2","Subsid","Unique ID",NA,NA,"Available from 2011 onwards"
"3","weight","Weighting factor",NA,NA,"Available from 2011 onwards"
"4","ret","Household completed the survey in previous year",NA,NA,"Available from 2012 onwards"
"5",NA,NA,NA,NA,NA
"6","sex","Sex",1,"male","Available from 2011 onwards"
"7",NA,NA,2,"female",NA
"8","tenure","Housing tenure",1,"Outright owner","Available from 2011 onwards"
"9",NA,NA,2,"Mortgagor",NA
"10",NA,NA,3,"Local authority rented",NA
"11",NA,NA,4,"Housing association rented",NA
"12",NA,NA,5,"Private rented",NA
"13",NA,NA,8,"Other",NA
"14","soc","Social grade",NA,"A","Available 2012-2013"
"15",NA,NA,NA,"B",NA
"16",NA,NA,NA,"C1",NA
"17",NA,NA,NA,"C2",NA
"18",NA,NA,NA,"D",NA
"19",NA,NA,NA,"E",NA
"20",NA,NA,NA,"F",NA
"21","age","Age",NA,"continuous variable","Available  from 2011 onwards"
"22","age_grp","Age groups",1,"18-24","Available  from 2011 onwards"
"23",NA,NA,2,"25-34",NA
"24",NA,NA,3,"35-44",NA
"25",NA,NA,4,"45-54",NA
"26",NA,NA,5,"55-64",NA
"27",NA,NA,6,"65+",NA
"28","region","Region",1,"London (Inner & Outer)","Available from 2011 onwards"
"29",NA,NA,3,"Rest of South East",NA
"30",NA,NA,4,"South West",NA
"31",NA,NA,5,"East Anglia",NA
"32",NA,NA,6,"East Midlands",NA
"33",NA,NA,7,"West Midlands",NA
"34",NA,NA,9,"North West",NA
"35",NA,NA,12,"Yorkshire",NA
"36",NA,NA,15,"North West",NA
"37",NA,NA,17,"Wales",NA
"38",NA,NA,18,"Scotland",NA
"39","pubsecty","Does your household gain more than half of its income from work for the public sector (by this we mean working directly for the public sector or for industries or services that mainly depend on contracts with the government for their business activity)?",1,"Yes","Available 2011-2013"
"40",NA,NA,2,"No","Available in 2015"
"41",NA,NA,NA,"Don't know",NA
"42",NA,NA,NA,"Prefer not to state",NA
"43","mastat","Marital status",1,"Married or living as couple","Available from 2012-2013"
"44",NA,NA,2,"Widowed/divorced/seperated",NA
"45",NA,NA,3,"Never married",NA
"46","jbstat","Working status of respondent",1,"self employed","Available from 2011 onwards"
"47",NA,NA,2,"in paid employment",NA
"48",NA,NA,3,"unemployed",NA
"49",NA,NA,4,"retired",NA
"50",NA,NA,6,"full time student",NA
"51",NA,NA,7,"not in work - long-term illness or disability",NA
"52",NA,NA,10,"something else",NA
"53","educ","What is the highest educational or school qualification you have obtained?",NA,"GCSE/O-Level/CSE","Available from 2013"
"54",NA,NA,NA,"Vocational qualifications (=NVQ1+2)",NA
"55",NA,NA,NA,"A-Level or equivalent (=NVQ3)",NA
"56",NA,NA,NA,"Bachelor Degree or equivalent (=NVQ4)",NA
"57",NA,NA,NA,"Masters, PHD or equivalent",NA
"58",NA,NA,NA,"Other",NA
"59",NA,NA,NA,"No formal qualifications",NA
"60",NA,NA,NA,"Still studying",NA
"61","huresp","Are you mainly or jointly responsible for the financial decision making in the household?",0,"No","Available from 2011 onwards"
"62",NA,NA,1,"Yes",NA
"63","fihhyr2","Pre-tax income",1,"<£4500","Available from 2011-2013"
"64",NA,NA,2,"£4500-£6499",NA
"65",NA,NA,3,"£6500-£7499",NA
"66",NA,NA,4,"£7500-£9499",NA
"67",NA,NA,5,"£9500-£11499",NA
"68",NA,NA,6,"£11500-£13499",NA
"69",NA,NA,7,"£13500-£15499",NA
"70",NA,NA,8,"£15500-£17499",NA
"71",NA,NA,9,"£17500-£24999",NA
"72",NA,NA,10,"£25000-£29999",NA
"73",NA,NA,NA,"£30000-£39999",NA
"74",NA,NA,12,"£40000-£49999",NA
"75",NA,NA,13,"£50,000-£74,999",NA
"76",NA,NA,14,"£75000-£99999",NA
"77",NA,NA,15,">=£100000",NA
"78","fihhyr2_m","Pre-tax income (continuous measure)",NA,"£ []","Available from 2014"
"79",NA,NA,NA,NA,"From 2015 different versions of income questions have been used to calculate total household income.  Please  see ""incomequestion"" variable for further information."
"80","dfihhyr","How much of your monthly income would you say your household has left after paying tax, national insurance, housing costs (eg. rent, mortgage repayments, council tax), loan repayments (eg. Personal loans, credit cards) and bills (eg. Electricity)",1,"<£200","Available from 2011-2013"
"81",NA,NA,2,"£200-£299",NA
"82",NA,NA,3,"£300-£399",NA
"83",NA,NA,4,"£400-£499",NA
"84",NA,NA,5,"£500-£599",NA
"85",NA,NA,6,"£600-£699",NA
"86",NA,NA,7,"£700-£799",NA
"87",NA,NA,8,"£800-£899",NA
"88",NA,NA,9,"£900-£999",NA
"89",NA,NA,10,"£1000-£1199",NA
"90",NA,NA,11,"£1200-£1399",NA
"91",NA,NA,12,"£1400-£1599",NA
"92",NA,NA,13,"£1600-£1799",NA
"93",NA,NA,14,"£1800-£1999",NA
"94",NA,NA,15,"£2000-£2999",NA
"95",NA,NA,16,"£3000-£3999",NA
"96",NA,NA,17,"£4000-£4999",NA
"97",NA,NA,18,">=£5000",NA
"98","dfihhyr_m","Post-tax monthly income (continuous measure)",NA,"£ []","Available in 2014"
"99","dfihhyrchg","And how much would you say that your monthly left over income has changed over the past year?",1,"Gone down by more than £100 per month","Available in 2011 and 2012"
"100",NA,NA,2,"Gone down by between £50 and £100 per month",NA
"101",NA,NA,3,"Gone down by up to £50 per month",NA
"102",NA,NA,4,"Roughly the same",NA
"103",NA,NA,5,"Gone up by up to £50 per month",NA
"104",NA,NA,6,"Gone up by between £50 and £100 per month",NA
"105",NA,NA,7,"Gone up by more than £100 per month",NA
"106","saveamount","How much of your household monthly income would you say that you save every month?",1,"None","Available from 2011-2013"
"107",NA,NA,2,"£1-£24",NA
"108",NA,NA,3,"£25-£49",NA
"109",NA,NA,4,"£50-£99",NA
"110",NA,NA,5,"£100-£149",NA
"111",NA,NA,6,"£150-£199",NA
"112",NA,NA,7,"£200 - £249",NA
"113",NA,NA,8,"£250 - £299",NA
"114",NA,NA,9,"£300 - £349",NA
"115",NA,NA,10,"£350 - £399",NA
"116",NA,NA,11,"£400 - £449",NA
"117",NA,NA,12,"£450 - £499",NA
"118",NA,NA,13,"£500 - £599",NA
"119",NA,NA,14,"£600 - £699",NA
"120",NA,NA,15,"£700 - £799",NA
"121",NA,NA,16,"£800 - £899",NA
"122",NA,NA,17,"£900 - £999",NA
"123",NA,NA,18,"£1,000 - £1,499",NA
"124",NA,NA,19,"£1,500 - £1,999",NA
"125",NA,NA,20,"£2,000 or more",NA
"126","saveamount_m","Monthly savings (continuous measure)",NA,"£ []","Available from 2014"
"127","nvesttot","How much do you (or any member of your household) currently have in total, saved up in savings and investments? Include bank /building society savings accounts or bonds, stock and shares, ISAs, Child Trust Funds, NS&I account/bonds and premium bonds. Please exclude any pensions you may have.",1,"None","Available from 2011-2013"
"128",NA,NA,2,"£1-£499",NA
"129",NA,NA,3,"£500 - £999",NA
"130",NA,NA,4,"£1,000 - £1,999",NA
"131",NA,NA,5,"£2,000 - £2,999",NA
"132",NA,NA,6,"£3,000 - £3,999",NA
"133",NA,NA,7,"£4,000 - £4,999",NA
"134",NA,NA,8,"£5,000 - £5,999",NA
"135",NA,NA,9,"£6,000 - £6,999",NA
"136",NA,NA,10,"£7,000 - £7,999",NA
"137",NA,NA,11,"£8,000 - £8,999",NA
"138",NA,NA,12,"£9,000 - £9,999",NA
"139",NA,NA,13,"£10,000 - £12,499",NA
"140",NA,NA,14,"£12,500 - £14,999",NA
"141",NA,NA,15,"£15,000 - £17,499",NA
"142",NA,NA,16,"£17,500 - £19,999",NA
"143",NA,NA,17,"£20,000 - £24,999",NA
"144",NA,NA,18,"£25,000 - £29,999",NA
"145",NA,NA,19,"£30,000 - £34,999",NA
"146",NA,NA,20,"£35,000 - £39,999",NA
"147",NA,NA,21,"£40,000 - £44,999",NA
"148",NA,NA,22,"£45,000 - £49,999",NA
"149",NA,NA,23,"£50,000 - £74,999",NA
"150",NA,NA,24,"£75,000 - £99,999",NA
"151",NA,NA,25,"£100,000 - £149,999",NA
"152",NA,NA,26,"More than £150,000",NA
"153","nvesttot_m","Total amount of deposits and savings (continuous measure)",NA,"£ []","Available from 2014"
"154","savingch","Over the next year are you planning to change the amount of money you save?",1,"Decrease by £300 or more a month","Available from 2011 to 2013"
"155",NA,NA,2,"Decrease by £200-£299 a month",NA
"156",NA,NA,3,"Decrease by £150-£199 a month",NA
"157",NA,NA,4,"Decrease by £100-£149 a month",NA
"158",NA,NA,5,"Decrease by £50-£99 a month",NA
"159",NA,NA,6,"Decrease by less than £50 a month",NA
"160",NA,NA,7,"Don't plan to change my monthly saving",NA
"161",NA,NA,8,"Increase by less than £50 a month",NA
"162",NA,NA,9,"Increase by £50-£99 a month",NA
"163",NA,NA,10,"Increase by £100-£149 a month",NA
"164",NA,NA,11,"Increase by £150-£199 a month",NA
"165",NA,NA,12,"Increase by £200-£299 a month",NA
"166",NA,NA,13,"Increase by £300 or more a month",NA
"167","savebcs1","What would you say is the main factor driving this increase? MAX 4 RESPONSES",1,"I am worried about future tax increases","Available from 2011 to 2013 and in 2016"
"168","savebcs2","Asked if savingch was an increase",2,"Fear of reducancy / job insecurity",NA
"169","savebcs3",NA,3,"I am worried about future interest rate increases",NA
"170","savebcs4",NA,4,"To make up for the fact that the value of my house or the value of my investments has fallen",NA
"171","savebcs5",NA,5,"Less guranteed monthly income",NA
"172","savebcs6",NA,6,"I have extra cash from a decrease in mortgage repayments",NA
"173","savebcs7",NA,7,"I have extra cash from increased income / second job / inheritance / lower bills",NA
"174","savebcs8",NA,8,"I am saving for a deposit on house or flat",NA
"175","savebcs9",NA,9,"I am saving for a big item, e.g. car, holiday, home improvements, etc",NA
"176","savebcs10",NA,10,"I am saving for retirement",NA
"177","savebcs11",NA,11,"I am saving for personal commitments e.g. marriage, children's education, long term care",NA
"178","savebcs12",NA,12,"I am trying to reduce my debts",NA
"179","savebcs13",NA,NA,"Other",NA
"180","savebcs14",NA,13,"I am worried about developments in the euro area (included 2012-13)",NA
"181","savebcs15",NA,13,"I am worried about the effects of the UK leaving the EU (included 2016)",NA
"182","desavebcs1","What would you say is the main factor driving this decrease? MAX 4 RESPONSES",1,"I will be unable to save as much because of lower income","Available from 2011 to 2013 and in 2016"
"183","desavebcs2","Asked if savingch was a decrease",2,"I will be unable to save as much because of the higher cost of essentials like food and bills",NA
"184","desavebcs3",NA,3,"I will not save as much because I have bought the item I was saving for",NA
"185","desavebcs4",NA,4,"I will not save as much because I now have enough in saving accounts and other assets",NA
